IID	sgdp_id	population	region	country	latitude	longitude	embargo
LP6005443-DNA_D02	S_Yakut-2	Yakut	CentralAsiaSiberia	Russia	63.0	129.5	FullyPublic
LP6005592-DNA_H01	S_Yemenite_Jew-1	Yemenite_Jew	WestEurasia	Yemen	15.4	44.2	FullyPublic
LP6005592-DNA_G01	S_Yemenite_Jew-2	Yemenite_Jew	WestEurasia	Yemen	15.4	44.2	FullyPublic
LP6005442-DNA_G01	S_Yi-1	Yi	EastAsia	China	28.0	103.0	FullyPublic
LP6005442-DNA_H01	S_Yi-2	Yi	EastAsia	China	28.0	103.0	FullyPublic
LP6005442-DNA_B02	S_Yoruba-1	Yoruba	Africa	Nigeria	7.4	3.9	FullyPublic
LP6005442-DNA_A02	S_Yoruba-2	Yoruba	Africa	Nigeria	7.4	3.9	FullyPublic
LP6005443-DNA_A12	S_Zapotec-1	Zapotec	America	Mexico	16.5	-97.2	FullyPublic
LP6005677-DNA_D01	S_Zapotec-2	Zapotec	America	Mexico	16.5	-97.2	FullyPublic
LP6005592-DNA_D03	S_Dai-1	Dai	EastAsia	China	21.0	100.0	FullyPublic
LP6005443-DNA_B01	S_Dai-2	Dai	EastAsia	China	21.0	100.0	FullyPublic
LP6005441-DNA_D04	S_Dai-3	Dai	EastAsia	China	21.0	100.0	FullyPublic
LP6005592-DNA_F03	S_Even-1	Even	CentralAsiaSiberia	Russia	57.53	135.88	FullyPublic
LP6005443-DNA_C04	S_Even-2	Even	CentralAsiaSiberia	Russia	57.53	135.88	FullyPublic
LP6005443-DNA_B04	S_Even-3	Even	CentralAsiaSiberia	Russia	57.53	135.88	FullyPublic
LP6005442-DNA_D10	S_Finnish-1	Finnish	WestEurasia	Finland	60.2	24.9	FullyPublic
LP6005442-DNA_C10	S_Finnish-2	Finnish	WestEurasia	Finland	60.2	24.9	FullyPublic
LP6005592-DNA_A02	S_Finnish-3	Finnish	WestEurasia	Finland	60.2	24.9	FullyPublic
LP6005441-DNA_D06	S_Japanese-2	Japanese	EastAsia	Japan	37.85	139.0	FullyPublic
LP6005592-DNA_C02	S_Japanese-3	Japanese	EastAsia	Japan	37.85	139.0	FullyPublic
LP6005592-DNA_G03	S_Jordanian-1	Jordanian	WestEurasia	Jordan	32.055	35.914	FullyPublic
LP6005442-DNA_E04	S_Jordanian-3	Jordanian	WestEurasia	Jordan	32.055	35.914	FullyPublic
LP6005441-DNA_B11	S_Ju_hoan_North-2	Ju_hoan_North	Africa	Namibia	-18.9	21.5	FullyPublic
LP6005441-DNA_A11	S_Ju_hoan_North-3	Ju_hoan_North	Africa	Namibia	-18.9	21.5	FullyPublic
LP6005592-DNA_C03	S_Mbuti-1	Mbuti	Africa	Congo	1.0	29.0	FullyPublic
LP6005441-DNA_B08	S_Mbuti-2	Mbuti	Africa	Congo	1.0	29.0	FullyPublic
LP6005441-DNA_A08	S_Mbuti-3	Mbuti	Africa	Congo	1.0	29.0	FullyPublic
LP6005443-DNA_E09	S_Naxi-1	Naxi	EastAsia	China	26.0	100.0	FullyPublic
